Date	Gold	USD/TL	Veh-Credit	CBRT-Total	PurofVehicles	ProbofPurchasingVehicle
2008-07	249.75	1.21	20.05	107441971	109.28	
2008-08	229.60	1.17	19.89	107867691	108.93	
2008-09	229.25	1.23	19.55	111063240	108.66	
2008-10	256.20	1.47	20.60	116794073	108.04	
2008-11	258.25	1.59	24.05	119329410	107.53	
2008-12	262.27	1.54	22.91	113458778	106.19	
2009-01	295.60	1.59	21.65	114274236	109.32	
2009-02	336.50	1.65	20.88	117004988	111.74	
2009-03	341.75	1.70	20.07	116575319	104.82	
2009-04	311.50	1.60	18.63	110203360	99.75	
2009-05	315.00	1.55	18.33	109924560	100.90	
2009-06	319.25	1.54	18.24	106190682	104.82	
2009-07	312.00	1.51	18.22	104926705	107.37	
2009-08	311.25	1.48	16.89	110291929	107.99	
2009-09	323.00	1.49	15.67	109500431	108.13	
2009-10	336.20	1.46	15.02	110531330	113.70	
2009-11	360.00	1.48	14.07	110103356	115.19	
2009-12	367.75	1.50	13.13	110026310	113.19	
2010-01	354.50	1.47	13.18	110245788	115.11	
2010-02	363.00	1.51	13.27	109391290	115.06	
2010-03	371.00	1.53	12.73	112124515	115.63	
2010-04	373.20	1.49	12.01	118799705	115.92	
2010-05	403.75	1.53	11.74	117382136	116.20	
2010-06	417.00	1.57	11.75	116824501	115.53	
2010-07	401.80	1.54	11.38	117610388	115.86	
2010-08	405.50	1.50	10.87	122538787	115.50	
2010-09	416.33	1.49	10.79	119716203	114.82	
2010-10	417.75	1.42	10.60	121298324	115.23	
2010-11	424.00	1.43	10.26	124650025	114.34	
2010-12	461.00	1.51	9.67	128463527	112.91	
2011-01	465.75	1.55	10.28	132590176	114.60	
2011-02	473.75	1.58	10.44	133047480	118.84	
2011-03	487.00	1.57	10.51	136737807	119.99	
2011-04	482.00	1.52	10.69	139810064	121.66	
2011-05	511.50	1.56	10.95	146578579	121.96	
2011-06	529.75	1.59	11.37	150793261	122.75	
2011-07	564.80	1.65	12.48	151165742	122.77	
2011-08	683.00	1.74	12.82	147054764	125.79	
2011-09	693.40	1.79	12.98	149857315	129.67	
2011-10	659.30	1.83	12.97	142793734	130.95	
2011-11	674.25	1.80	13.42	154147199	130.49	
2011-12	664.80	1.86	12.02	146213614	130.35	
2012-01	658.75	1.84	15.04	135390952	132.71	14.05
2012-02	660.00	1.75	14.82	139109518	132.40	11.94
2012-03	648.60	1.78	13.39	144032200	131.80	11.69
2012-04	635.75	1.78	13.17	152157165	132.34	12.73
2012-05	622.50	1.80	12.99	155528122	132.32	12.47
2012-06	629.00	1.82	12.99	163104987	132.39	11.82
2012-07	622.50	1.80	13.38	170257626	132.32	10.70
2012-08	632.80	1.79	13.38	185345267	132.23	11.07
2012-09	672.25	1.80	13.00	188586147	131.31	12.69
2012-10	668.20	1.79	12.77	198747894	131.36	10.95
2012-11	663.40	1.79	12.07	200085346	130.25	10.90
2012-12	649.25	1.78	11.01	202022077	129.92	11.32
2013-01	641.25	1.76	11.06	208658484	130.62	11.19
2013-02	627.75	1.77	10.91	211363840	133.56	10.38
2013-03	624.60	1.81	10.48	219098171	133.85	11.90
2013-04	592.00	1.80	10.30	234218238	134.00	11.33
2013-05	574.20	1.82	9.88	231410234	134.70	14.79
2013-06	551.75	1.89	9.61	226224976	134.85	13.39
2013-07	556.25	1.93	10.10	228536154	138.11	13.41
2013-08	584.80	1.95	10.60	252717344	139.20	13.30
2013-09	584.50	2.02	11.46	253139818	142.30	11.38
2013-10	570.00	1.99	11.81	257299409	144.18	13.69
2013-11	565.80	2.02	11.28	262203902	143.45	13.70
2013-12	557.00	2.06	10.99	265857669	143.25	13.23
2014-01	594.80	2.22	12.84	265441272	151.68	15.11
2014-02	610.75	2.21	15.09	270204556	161.10	11.43
2014-03	631.00	2.22	15.21	262750465	166.94	11.33
2014-04	598.50	2.13	14.91	268243802	167.83	12.54
2014-05	581.80	2.09	14.29	268166837	166.66	15.57
2014-06	587.75	2.12	13.31	276799271	164.96	11.88
2014-07	594.00	2.12	12.79	272004583	164.87	13.14
2014-08	599.60	2.16	12.84	283188937	164.79	12.00
2014-09	587.25	2.20	12.72	289397364	164.83	12.67
2014-10	587.60	2.26	12.37	284414169	164.74	12.85
2014-11	574.00	2.23	12.38	286785505	163.84	11.91
2014-12	589.75	2.29	12.60	281900314	162.89	10.42
2015-01	622.00	2.33	12.91	295391475	166.79	11.68
