Tarih	EURO	USD	Years	Months
20-11-2015	3.068	2.872	2015	1
27-11-2015	3.048	2.870	2015	2
04-12-2015	3.068	2.901	2015	3
11-12-2015	3.161	2.908	2015	4
18-12-2015	3.235	2.961	2015	5
25-12-2015	3.183	2.925	2015	6
01-01-2016	3.190	2.916	2016	7
08-01-2016	3.219	2.977	2016	8
15-01-2016	3.279	3.021	2016	9
22-01-2016	3.310	3.043	2016	10
29-01-2016	3.260	3.009	2016	11
05-02-2016	3.227	2.952	2016	12
12-02-2016	3.286	2.932	2016	13
19-02-2016	3.297	2.954	2016	14
26-02-2016	3.248	2.948	2016	15
04-03-2016	3.206	2.944	2016	16
11-03-2016	3.193	2.915	2016	17
18-03-2016	3.210	2.886	2016	18
25-03-2016	3.219	2.874	2016	19
01-04-2016	3.208	2.859	2016	20
08-04-2016	3.220	2.835	2016	21
15-04-2016	3.230	2.850	2016	22
22-04-2016	3.211	2.843	2016	23
29-04-2016	3.194	2.833	2016	24
06-05-2016	3.255	2.841	2016	25
13-05-2016	3.349	2.944	2016	26
20-05-2016	3.358	2.973	2016	27
27-05-2016	3.316	2.969	2016	28
03-06-2016	3.289	2.952	2016	29
10-06-2016	3.290	2.912	2016	30
17-06-2016	3.290	2.929	2016	31
24-06-2016	3.283	2.907	2016	32
01-07-2016	3.225	2.916	2016	33
08-07-2016	3.204	2.890	2016	34
15-07-2016	3.211	2.904	2016	35
22-07-2016	3.296	2.987	2016	36
29-07-2016	3.345	3.041	2016	37
05-08-2016	3.351	3.008	2016	38
12-08-2016	3.311	2.981	2016	39
19-08-2016	3.302	2.944	2016	40
26-08-2016	3.325	2.947	2016	41
02-09-2016	3.300	2.955	2016	42
09-09-2016	3.296	2.946	2016	43
16-09-2016	3.330	2.961	2016	44
23-09-2016	3.321	2.973	2016	45
30-09-2016	3.339	2.980	2016	46
07-10-2016	3.390	3.033	2016	47
14-10-2016	3.408	3.079	2016	48
21-10-2016	3.391	3.090	2016	49
28-10-2016	3.357	3.086	2016	50
04-11-2016	3.418	3.111	2016	51
11-11-2016	3.503	3.176	2016	52
18-11-2016	3.539	3.291	2016	53
25-11-2016	3.587	3.387	2016	54
02-12-2016	3.641	3.435	2016	55
09-12-2016	3.716	3.476	2016	56
16-12-2016	3.692	3.493	2016	57
23-12-2016	3.653	3.509	2016	58
30-12-2016	3.677	3.524	2016	59
06-01-2017	3.731	3.566	2017	60
13-01-2017	3.972	3.761	2017	61
20-01-2017	4.029	3.790	2017	62
27-01-2017	4.068	3.802	2017	63
03-02-2017	4.081	3.808	2017	64
10-02-2017	3.976	3.722	2017	65
17-02-2017	3.892	3.672	2017	66
24-02-2017	3.828	3.625	2017	67
03-03-2017	3.821	3.622	2017	68
10-03-2017	3.924	3.721	2017	69
17-03-2017	3.970	3.733	2017	70
24-03-2017	3.898	3.623	2017	71
31-03-2017	3.915	3.629	2017	72
07-04-2017	3.905	3.667	2017	73
14-04-2017	3.926	3.706	2017	74
21-04-2017	3.913	3.671	2017	75
28-04-2017	3.897	3.598	2017	76
05-05-2017	3.864	3.546	2017	77
12-05-2017	3.901	3.581	2017	78
19-05-2017	3.913	3.567	2017	79
26-05-2017	4.000	3.579	2017	80
02-06-2017	3.978	3.560	2017	81
09-06-2017	3.963	3.531	2017	82
16-06-2017	3.936	3.521	2017	83
23-06-2017	3.928	3.524	2017	84
30-06-2017	3.972	3.516	2017	85
07-07-2017	4.047	3.566	2017	86
14-07-2017	4.117	3.613	2017	87
21-07-2017	4.062	3.543	2017	88
28-07-2017	4.131	3.549	2017	89
04-08-2017	4.158	3.533	2017	90
11-08-2017	4.164	3.538	2017	91
18-08-2017	4.146	3.535	2017	92
25-08-2017	4.119	3.507	2017	93
01-09-2017	4.119	3.461	2017	94
08-09-2017	4.107	3.441	2017	95
15-09-2017	4.102	3.430	2017	96
22-09-2017	4.151	3.478	2017	97
29-09-2017	4.185	3.541	2017	98
06-10-2017	4.196	3.574	2017	99
13-10-2017	4.312	3.667	2017	100
20-10-2017	4.310	3.662	2017	101
27-10-2017	4.374	3.720	2017	102
03-11-2017	4.417	3.802	2017	103
10-11-2017	4.473	3.860	2017	104
17-11-2017	4.536	3.877	2017	105
24-11-2017	4.617	3.926	2017	106
01-12-2017	4.674	3.942	2017	107
08-12-2017	4.604	3.892	2017	108
15-12-2017	4.518	3.843	2017	109
