date	hpi
2010-01	45.40
2010-02	45.60
2010-03	46.00
2010-04	46.20
2010-05	46.50
2010-06	46.60
2010-07	46.70
2010-08	46.80
2010-09	46.90
2010-10	47.20
2010-11	47.50
2010-12	48.10
2011-01	48.30
2011-02	48.80
2011-03	49.00
2011-04	49.30
2011-05	49.60
2011-06	49.80
2011-07	50.00
2011-08	50.00
2011-09	50.60
2011-10	50.90
2011-11	51.10
2011-12	51.20
2012-01	51.70
2012-02	52.50
2012-03	53.00
2012-04	53.60
2012-05	54.30
2012-06	54.70
2012-07	55.10
2012-08	55.40
2012-09	55.50
2012-10	55.70
2012-11	56.00
2012-12	56.40
2013-01	56.90
2013-02	57.60
2013-03	58.40
2013-04	59.20
2013-05	60.00
2013-06	60.60
2013-07	61.20
2013-08	61.50
2013-09	62.00
2013-10	62.50
2013-11	63.30
2013-12	63.60
2014-01	64.10
2014-02	64.80
2014-03	65.70
2014-04	66.80
2014-05	67.50
2014-06	68.20
2014-07	69.30
2014-08	70.20
2014-09	70.90
2014-10	71.50
2014-11	72.40
2014-12	73.10
2015-01	74.20
2015-02	75.40
2015-03	76.60
2015-04	77.70
2015-05	78.90
2015-06	79.90
2015-07	80.60
2015-08	81.10
2015-09	81.70
2015-10	82.70
2015-11	83.70
2015-12	84.50
2016-01	85.70
2016-02	86.60
2016-03	87.50
2016-04	88.60
2016-05	89.70
2016-06	90.50
2016-07	91.30
2016-08	92.30
2016-09	92.80
2016-10	93.50
2016-11	94.00
2016-12	94.80
2017-01	95.50
2017-02	96.70
2017-03	97.90
2017-04	98.70
2017-05	99.80
2017-06	100.30
2017-07	100.50
2017-08	100.80
2017-09	101.40
2017-10	102.20
2017-11	102.80
2017-12	103.40
2018-01	104.10
2018-02	104.80
2018-03	105.70
2018-04	107.10
2018-05	108.60
2018-06	109.10
2018-07	109.30
2018-08	108.70
2018-09	107.80
2018-10	108.50
2018-11	109.20
2018-12	108.00
2019-01	107.60
2019-02	108.60
2019-03	109.00
2019-04	109.30
2019-05	110.20
2019-06	111.00
2019-07	112.40
2019-08	114.40
2019-09	115.20
2019-10	116.00
2019-11	117.10
2019-12	118.80
2020-01	120.90
2020-02	123.70
2020-03	125.40
2020-04	127.50
2020-05	135.90
2020-06	139.50
2020-07	141.40
2020-08	144.40
2020-09	146.70
2020-10 147.80
2020-11 148.20
2020-12 148.00
