dates	israf	months	years
4.01.2015	56	1	2015
11.01.2015	44	2	2015
18.01.2015	28	3	2015
25.01.2015	26	4	2015
1.02.2015	44	5	2015
8.02.2015	58	6	2015
15.02.2015	40	7	2015
22.02.2015	54	8	2015
1.03.2015	45	9	2015
8.03.2015	56	10	2015
15.03.2015	47	11	2015
22.03.2015	35	12	2015
29.03.2015	50	13	2015
5.04.2015	40	14	2015
12.04.2015	57	15	2015
19.04.2015	37	16	2015
26.04.2015	41	17	2015
3.05.2015	85	18	2015
10.05.2015	45	19	2015
17.05.2015	69	20	2015
24.05.2015	60	21	2015
31.05.2015	36	22	2015
7.06.2015	40	23	2015
14.06.2015	41	24	2015
21.06.2015	43	25	2015
28.06.2015	26	26	2015
5.07.2015	65	27	2015
12.07.2015	35	28	2015
19.07.2015	30	29	2015
26.07.2015	31	30	2015
2.08.2015	27	31	2015
9.08.2015	25	32	2015
16.08.2015	29	33	2015
23.08.2015	24	34	2015
30.08.2015	16	35	2015
6.09.2015	11	36	2015
13.09.2015	17	37	2015
20.09.2015	28	38	2015
27.09.2015	15	39	2015
4.10.2015	17	40	2015
11.10.2015	34	41	2015
18.10.2015	27	42	2015
25.10.2015	53	43	2015
1.11.2015	52	44	2015
8.11.2015	64	45	2015
15.11.2015	68	46	2015
22.11.2015	41	47	2015
29.11.2015	61	48	2015
6.12.2015	86	49	2015
13.12.2015	100	50	2015
20.12.2015	82	51	2015
27.12.2015	90	52	2015
3.01.2016	68	53	2016
10.01.2016	71	54	2016
17.01.2016	53	55	2016
24.01.2016	31	56	2016
31.01.2016	29	57	2016
7.02.2016	94	58	2016
14.02.2016	85	59	2016
21.02.2016	76	60	2016
28.02.2016	62	61	2016
6.03.2016	48	62	2016
13.03.2016	42	63	2016
20.03.2016	52	64	2016
27.03.2016	56	65	2016
3.04.2016	85	66	2016
10.04.2016	54	67	2016
17.04.2016	44	68	2016
24.04.2016	51	69	2016
1.05.2016	59	70	2016
8.05.2016	59	71	2016
15.05.2016	30	72	2016
22.05.2016	44	73	2016
29.05.2016	53	74	2016
5.06.2016	51	75	2016
12.06.2016	36	76	2016
19.06.2016	15	77	2016
26.06.2016	13	78	2016
3.07.2016	14	79	2016
10.07.2016	22	80	2016
17.07.2016	9	81	2016
24.07.2016	18	82	2016
31.07.2016	9	83	2016
7.08.2016	21	84	2016
14.08.2016	29	85	2016
21.08.2016	28	86	2016
28.08.2016	33	87	2016
4.09.2016	23	88	2016
11.09.2016	17	89	2016
18.09.2016	35	90	2016
25.09.2016	16	91	2016
2.10.2016	39	92	2016
9.10.2016	41	93	2016
16.10.2016	30	94	2016
23.10.2016	33	95	2016
30.10.2016	37	96	2016
6.11.2016	52	97	2016
