Dates	TouristN	Years	Months
2008-03	374133	2008	1
2008-04	427658	2008	2
2008-05	461661	2008	3
2008-06	567063	2008	4
2008-07	437854	2008	5
2008-08	348552	2008	6
2008-09	262293	2008	7
2008-10	448433	2008	8
2008-11	376187	2008	9
2008-12	498221	2008	10
2009-01	378771	2009	11
2009-02	384447	2009	12
2009-03	439320	2009	13
2009-04	364114	2009	14
2009-05	413407	2009	15
2009-06	488989	2009	16
2009-07	651212	2009	17
2009-08	460934	2009	18
2009-09	411943	2009	19
2009-10	490962	2009	20
2009-11	517640	2009	21
2009-12	559614	2009	22
2010-01	354260	2010	23
2010-02	444881	2010	24
2010-03	494956	2010	25
2010-04	518761	2010	26
2010-05	575820	2010	27
2010-06	617491	2010	28
2010-07	770870	2010	29
2010-08	547433	2010	30
2010-09	518823	2010	31
2010-10	551749	2010	32
2010-11	599486	2010	33
2010-12	562702	2010	34
2011-01	555008	2011	35
2011-02	516563	2011	36
2011-03	575006	2011	37
2011-04	610062	2011	38
2011-05	622457	2011	39
2011-06	653460	2011	40
2011-07	569553	2011	41
2011-08	467089	2011	42
2011-09	428960	2011	43
2011-10	428263	2011	44
2011-11	443020	2011	45
2011-12	412532	2011	46
2012-01	415816	2012	47
2012-02	381114	2012	48
2012-03	466236	2012	49
2012-04	517912	2012	50
2012-05	544263	2012	51
2012-06	625636	2012	52
2012-07	512102	2012	53
2012-08	477758	2012	54
2012-09	389345	2012	55
2012-10	547879	2012	56
2012-11	493624	2012	57
2012-12	431264	2012	58
2013-01	490709	2013	59
2013-02	560648	2013	60
2013-03	608274	2013	61
2013-04	566597	2013	62
2013-05	590946	2013	63
2013-06	677972	2013	64
2013-07	717114	2013	65
2013-08	790702	2013	66
2013-09	560014	2013	67
2013-10	806876	2013	68
2013-11	583899	2013	69
2013-12	572119	2013	70
2014-01	513762	2014	71
2014-02	596225	2014	72
2014-03	618296	2014	73
2014-04	590790	2014	74
2014-05	698631	2014	75
2014-06	752665	2014	76
2014-07	825446	2014	77
2014-08	816672	2014	78
2014-09	641160	2014	79
2014-10	719336	2014	80
2014-11	594189	2014	81
2014-12	615090	2014	82
2015-01	605946	2015	83
2015-02	616510	2015	84
2015-03	642603	2015	85
2015-04	765692	2015	86
2015-05	882159	2015	87
2015-06	814659	2015	88
2015-07	949715	2015	89
2015-08	872220	2015	90
2015-09	749875	2015	91
2015-10	678682	2015	92
2015-11	605397	2015	93
2015-12	567393	2015	94
2016-01	557683	2016	95
2016-02	626101	2016	96
2016-03	641403	2016	97
2016-04	631516	2016	98
2016-05	752060	2016	99
2016-06	652242	2016	100
2016-07	880228	2016	101
2016-08	647281	2016	102
2016-09	707264	2016	103
2016-10	648563	2016	104
2016-11	566005	2016	105
2016-12	581562	2016	106
2017-01	611420	2017	107
2017-02	608313	2017	108
2017-03	677821	2017	109
2017-04	702741	2017	110
2017-05	812614	2017	111
2017-06	779234	2017	112
2017-07	919606	2017	113
2017-08	837828	2017	114
2017-09	756884	2017	115
2017-10	759030	2017	116
2017-11	683622	2017	117
2017-12	737805	2017	118
2018-01	704387	2018	119
2018-02	660895	2018	120
2018-03	705252	2018	121
2018-04	728986	2018	122
2018-05	690243	2018	123
2018-06	774829	2018	124
2018-07	816997	2018	125
2018-08	807504	2018	126
2018-09	641295	2018	127
2018-10	634078	2018	128
2018-11	592426	2018	129
2018-12	626541	2018	130
2019-01	656475	2019	131
2019-02	644196	2019	132
2019-03	717246	2019	133
2019-04	752280	2019	134
2019-05	725576	2019	135
2019-06	966812	2019	136
2019-07	1111531	2019	137
2019-08	1022294	2019	138
2019-09	815293	2019	139
2019-10	771983	2019	140
2019-11	724475	2019	141
2019-12	742352	2019	142
2020-01	747101	2020	143
2020-02	670221	2020	144
2020-03	326339	2020	145
2020-04	0	2020	146
2020-05	0	2020	147
2020-06	0	2020	148
2020-07	78849	2020	149
2020-08	66298	2020	150
2020-09	58076	2020	151
