Dates	Spending 	Years 	months
2015-01	109827	2015	1
2015-02	214091	2015	2
2015-03	144348	2015	3
2015-04	51487	2015	4
2015-05	109121	2015	5
2015-06	167738	2015	6
2015-07	237508	2015	7
2015-08	151663	2015	8
2015-09	150099	2015	9
2015-10	59914	2015	10
2015-11	222876	2015	11
2015-12	154563	2015	12
2016-01	103432	2016	13
2016-02	171045	2016	14
2016-03	195842	2016	15
2016-04	210022	2016	16
2016-05	54142	2016	17
2016-06	164791	2016	18
2016-07	156122	2016	19
2016-08	56691	2016	20
2016-09	3010	2016	21
2016-10	119716	2016	22
2016-11	228238	2016	23
2016-12	159136	2016	24
2017-01	163866	2017	25
2017-02	282263	2017	26
2017-03	236329	2017	27
2017-04	103750	2017	28
2017-05	166746	2017	29
2017-06	218704	2017	30
2017-07	90217	2017	31
2017-08	167384	2017	32
2017-09	28192	2017	33
2017-10	297247	2017	34
2017-11	29956	2017	35
2017-12	192359	2017	36
2018-01	163901	2018	37
2018-02	170592	2018	38
2018-03	209066	2018	39
2018-04	203687	2018	40
2018-05	168456	2018	41
2018-06	207261	2018	42
2018-07	103537	2018	43
2018-08	59874	2018	44
2018-09	21623	2018	45
2018-10	204789	2018	46
2018-11	145941	2018	47
2018-12	55451	2018	48
2019-01	215724	2019	49
2019-02	197030	2019	50
2019-03	130035	2019	51
2019-04	403365	2019	52
2019-05	60467	2019	53
2019-06	214462	2019	54
2019-07	126362	2019	55
2019-08	169877	2019	56
2019-09	27538	2019	57
2019-10	263614	2019	58
2019-11	18969	2019	59
2019-12	245992	2019	60
2020-01	221000	2020	61
2020-02	122000	2020	62
