Ay	search	years	months
2008-06	67	2008	1
2008-07	72	2008	2
2008-08	69	2008	3
2008-09	56	2008	4
2008-10	51	2008	5
2008-11	46	2008	6
2008-12	45	2008	7
2009-01	51	2009	8
2009-02	54	2009	9
2009-03	58	2009	10
2009-04	59	2009	11
2009-05	62	2009	12
2009-06	69	2009	13
2009-07	73	2009	14
2009-08	66	2009	15
2009-09	57	2009	16
2009-10	52	2009	17
2009-11	45	2009	18
2009-12	53	2009	19
2010-01	52	2010	20
2010-02	60	2010	21
2010-03	61	2010	22
2010-04	63	2010	23
2010-05	67	2010	24
2010-06	70	2010	25
2010-07	72	2010	26
2010-08	67	2010	27
2010-09	57	2010	28
2010-10	56	2010	29
2010-11	47	2010	30
2010-12	53	2010	31
2011-01	58	2011	32
2011-02	60	2011	33
2011-03	62	2011	34
2011-04	67	2011	35
2011-05	66	2011	36
2011-06	72	2011	37
2011-07	75	2011	38
2011-08	71	2011	39
2011-09	61	2011	40
2011-10	63	2011	41
2011-11	45	2011	42
2011-12	49	2011	43
2012-01	52	2012	44
2012-02	56	2012	45
2012-03	56	2012	46
2012-04	58	2012	47
2012-05	59	2012	48
2012-06	63	2012	49
2012-07	70	2012	50
2012-08	64	2012	51
2012-09	60	2012	52
2012-10	52	2012	53
2012-11	49	2012	54
2012-12	49	2012	55
2013-01	51	2013	56
2013-02	54	2013	57
2013-03	56	2013	58
2013-04	58	2013	59
2013-05	60	2013	60
2013-06	62	2013	61
2013-07	70	2013	62
2013-08	68	2013	63
2013-09	61	2013	64
2013-10	51	2013	65
2013-11	47	2013	66
2013-12	53	2013	67
2014-01	54	2014	68
2014-02	59	2014	69
2014-03	61	2014	70
2014-04	64	2014	71
2014-05	64	2014	72
2014-06	69	2014	73
2014-07	77	2014	74
2014-08	80	2014	75
2014-09	66	2014	76
2014-10	56	2014	77
2014-11	51	2014	78
2014-12	58	2014	79
2015-01	64	2015	80
2015-02	63	2015	81
2015-03	65	2015	82
2015-04	69	2015	83
2015-05	69	2015	84
2015-06	78	2015	85
2015-07	89	2015	86
2015-08	83	2015	87
2015-09	68	2015	88
2015-10	66	2015	89
2015-11	58	2015	90
2015-12	58	2015	91
2016-01	67	2016	92
2016-02	63	2016	93
2016-03	68	2016	94
2016-04	68	2016	95
2016-05	74	2016	96
2016-06	85	2016	97
2016-07	88	2016	98
2016-08	85	2016	99
2016-09	72	2016	100
2016-10	71	2016	101
2016-11	56	2016	102
2016-12	62	2016	103
2017-01	63	2017	104
2017-02	63	2017	105
2017-03	65	2017	106
2017-04	70	2017	107
2017-05	79	2017	108
2017-06	89	2017	109
2017-07	96	2017	110
2017-08	89	2017	111
2017-09	74	2017	112
2017-10	66	2017	113
2017-11	60	2017	114
2017-12	63	2017	115
2018-01	69	2018	116
2018-02	69	2018	117
2018-03	70	2018	118
2018-04	73	2018	119
2018-05	78	2018	120
2018-06	87	2018	121
2018-07	99	2018	122
2018-08	89	2018	123
2018-09	80	2018	124
2018-10	66	2018	125
2018-11	60	2018	126
2018-12	67	2018	127
2019-01	78	2019	128
2019-02	71	2019	129
2019-03	73	2019	130
2019-04	80	2019	131
2019-05	82	2019	132
2019-06	91	2019	133
2019-07	100	2019	134
2019-08	95	2019	135
2019-09	81	2019	136
2019-10	74	2019	137
2019-11	69	2019	138
2019-12	72	2019	139
2020-01	70	2020	140
2020-02	74	2020	141
2020-03	52	2020	142
2020-04	39	2020	143
2020-05	50	2020	144
2020-06	54	2020	145
2020-07	64	2020	146
2020-08	70	2020	147
2020-09	62	2020	148
2020-10	57	2020	149
2020-11	48	2020	150
